127.0.0.1 - - [02/Sep/2021:09:09:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:09:55 +0900] "GET /clientweb/html/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:09:55 +0900] "GET /clientweb/images/drinks.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:09:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:14:12 +0900] "GET /clientweb/html/basic.html HTTP/1.1" 200 3987
192.168.0.221 - - [02/Sep/2021:09:14:12 +0900] "GET /clientweb/images/view.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:14:12 +0900] "GET /clientweb/images/view.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:14:12 +0900] "GET /clientweb/images/jang1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:14:12 +0900] "GET /clientweb/html/clientweb/images/view.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:14:32 +0900] "GET /clientweb/html/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:14:42 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:29:38 +0900] "GET /clientweb/css/css_basic_test.html HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:30:13 +0900] "GET /clientweb/css/css_basic_test.html HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:35:18 +0900] "GET /clientweb/css/css_basic_test.html HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:37:24 +0900] "GET /clientweb/css/css_basic_test.html HTTP/1.1" 200 3262
